Player,GP,FT,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,DREB,OREB,AST,STL,TO,BLK,PTS,RPG,APG,SPG,BPG,EFF,PPR
Justin Mckay,7,7,0,9,34,26.5,2,6,33.3,0,0,0.0,5.4,1.7,0.0,0.1,2.7,,,,,,,100
Sajid Khan,9,9,0,11,42,26.2,2,12,16.7,0,2,0.0,6.0,3.0,0.7,0.2,2.7,,,,,,,100
Aumbergeet Viria,7,11,0,8,19,42.1,1,10,10.0,2,3,66.7,1.6,0.9,0.1,0.1,2.7,,,,,,,100
Hamza Saleh,9,15,1,10,47,21.3,1,19,5.3,2,4,50.0,6.1,1.2,1.6,0.4,2.6,,,,,,,100
Dylan Esquillo,5,0,0,6,21,28.6,1,14,7.1,0,0,0.0,2.2,0.8,0.6,0.2,2.6,,,,,,,100
Derek Elliot,2,2,0,2,6,33.3,1,4,25.0,0,0,0.0,1.5,1.5,0.5,0.0,2.5,,,,,,,100
Dane Whitford,6,2,0,5,23,21.7,2,12,16.7,3,5,60.0,2.2,0.7,0.2,0.3,2.5,,,,,,,100
Rhett Digo,7,8,2,8,18,44.4,1,1,100.0,0,0,0.0,3.3,0.3,0.0,0.4,2.4,,,,,,,100
Jeric Cacpal,11,20,0,12,29,41.4,2,6,33.3,0,1,0.0,7.2,1.1,1.3,1.1,2.4,,,,,,,100
Jasper De Leon,9,21,1,8,26,30.8,1,3,33.3,4,5,80.0,5.4,0.6,0.1,0.0,2.3,,,,,,,100
Ryu Moniz,8,7,0,7,29,24.1,4,22,18.2,0,0,0.0,2.3,1.1,1.3,0.3,2.3,,,,,,,100
